chain,development_method,version,validity_status,controller_path,scenarios,success_count,success_rate,collision_count,collision_rate,timeout_count,timeout_rate,invalid_count,invalid_rate,average_steps,average_optimal_steps,efficiency_score
opus_pdd_group_b2,PDD,8,valid,controllers/opus_pdd_group_b2/controller_v8.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b3,PDD,1,all_invalid,controllers/opus_pdd_group_b3/controller_v1.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
opus_pdd_group_b3,PDD,2,valid,controllers/opus_pdd_group_b3/controller_v2.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.2,9.467,0.097
opus_pdd_group_b3,PDD,3,valid,controllers/opus_pdd_group_b3/controller_v3.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.667,9.467,0.087
opus_pdd_group_b3,PDD,4,valid,controllers/opus_pdd_group_b3/controller_v4.py,15,1,0.067,0,0.0,14,0.933,0,0.0,21.933,9.467,0.067
opus_pdd_group_b3,PDD,5,valid,controllers/opus_pdd_group_b3/controller_v5.py,15,8,0.533,0,0.0,7,0.467,0,0.0,16.8,9.467,0.39
opus_pdd_group_b3,PDD,6,valid,controllers/opus_pdd_group_b3/controller_v6.py,15,7,0.467,0,0.0,8,0.533,0,0.0,17.4,9.467,0.337
opus_pdd_group_b3,PDD,7,valid,controllers/opus_pdd_group_b3/controller_v7.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b3,PDD,8,valid,controllers/opus_pdd_group_b3/controller_v8.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_sdd,SDD,1,valid,controllers/opus_sdd/controller_v1.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_sdd_a,SDD,1,valid,controllers/opus_sdd_a/controller_v1.py,15,9,0.6,0,0.0,6,0.4,0,0.0,17.4,9.467,0.397
opus_sdd_a,SDD,2,valid,controllers/opus_sdd_a/controller_v2.py,15,1,0.067,0,0.0,14,0.933,0,0.0,21.933,9.467,0.067
opus_sdd_a,SDD,3,valid,controllers/opus_sdd_a/controller_v3.py,15,8,0.533,0,0.0,7,0.467,0,0.0,17.467,9.467,0.371
opus_sdd_a,SDD,4,valid,controllers/opus_sdd_a/controller_v4.py,15,6,0.4,0,0.0,9,0.6,0,0.0,18.267,9.467,0.269
opus_sdd_b,SDD,1,valid,controllers/opus_sdd_b/controller_v1.py,15,7,0.467,0,0.0,8,0.533,0,0.0,17.333,9.467,0.323
opus_sdd_b,SDD,2,valid,controllers/opus_sdd_b/controller_v2.py,15,1,0.067,0,0.0,14,0.933,0,0.0,21.933,9.467,0.067
opus_sdd_b,SDD,3,valid,controllers/opus_sdd_b/controller_v3.py,15,5,0.333,0,0.0,10,0.667,0,0.0,20.533,9.467,0.199
opus_sdd_b,SDD,4,valid,controllers/opus_sdd_b/controller_v4.py,15,5,0.333,0,0.0,10,0.667,0,0.0,20.533,9.467,0.199
opus_sdd_c,SDD,1,valid,controllers/opus_sdd_c/controller_v1.py,15,8,0.533,0,0.0,7,0.467,0,0.0,16.867,9.467,0.369
opus_sdd_c,SDD,2,valid,controllers/opus_sdd_c/controller_v2.py,15,8,0.533,0,0.0,7,0.467,0,0.0,16.867,9.467,0.369
opus_sdd_c,SDD,3,valid,controllers/opus_sdd_c/controller_v3.py,15,6,0.4,0,0.0,9,0.6,0,0.0,17.867,9.467,0.287
opus_sdd_c,SDD,4,valid,controllers/opus_sdd_c/controller_v4.py,15,6,0.4,0,0.0,9,0.6,0,0.0,18.2,9.467,0.274
oracle,OTHER,1,valid,controllers/oracle/controller_v1.py,15,7,0.467,0,0.0,8,0.533,0,0.0,17.467,9.467,0.313
random_baseline,OTHER,1,valid,controllers/random_baseline/controller_v1.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
target,OTHER,1,valid,controllers/target/controller_v1.py,15,5,0.333,0,0.0,10,0.667,0,0.0,17.667,9.467,0.256
target,OTHER,2,valid,controllers/target/controller_v2.py,15,15,1.0,0,0.0,0,0.0,0,0.0,12.867,9.467,0.725
